Time,Settlement Period,Day of Week,Predicted_load
2016-01-04 16:30:00,34.0,0,34938.2552830043
2016-01-04 17:00:00,35.0,0,34938.2552830043
2016-01-04 17:30:00,36.0,0,34938.2552830043
2016-01-04 18:00:00,37.0,0,34938.2552830043
2016-01-04 18:30:00,38.0,0,34938.2552830043
2016-01-04 19:00:00,39.0,0,34938.2552830043
2016-01-04 19:30:00,40.0,0,34938.2552830043
2016-01-04 20:00:00,41.0,0,34938.2552830043
2016-01-04 20:30:00,42.0,0,34938.2552830043
2016-01-04 21:00:00,43.0,0,34938.2552830043
2016-01-04 21:30:00,44.0,0,34938.2552830043
2016-01-04 22:00:00,45.0,0,34938.2552830043
2016-01-04 22:30:00,46.0,0,34938.2552830043
2016-01-04 23:00:00,47.0,0,34938.2552830043
2016-01-04 23:30:00,48.0,0,34938.2552830043
2016-01-05 00:00:00,1.0,1,34938.2552830043
2016-01-05 00:30:00,2.0,1,34938.2552830043
2016-01-05 01:00:00,3.0,1,34938.2552830043
2016-01-05 01:30:00,4.0,1,34938.2552830043
2016-01-05 02:00:00,5.0,1,34938.2552830043
2016-01-05 02:30:00,6.0,1,34938.2552830043
2016-01-05 03:00:00,7.0,1,34938.2552830043
2016-01-05 03:30:00,8.0,1,34938.2552830043
2016-01-05 04:00:00,9.0,1,34938.2552830043
2016-01-05 04:30:00,10.0,1,34938.2552830043
2016-01-05 05:00:00,11.0,1,34938.2552830043
2016-01-05 05:30:00,12.0,1,34938.2552830043
2016-01-05 06:00:00,13.0,1,34938.2552830043
2016-01-05 06:30:00,14.0,1,34938.2552830043
2016-01-05 07:00:00,15.0,1,34938.2552830043
2016-01-05 07:30:00,16.0,1,34938.2552830043
2016-01-05 08:00:00,17.0,1,34938.2552830043
2016-01-05 08:30:00,18.0,1,34938.2552830043
2016-01-05 09:00:00,19.0,1,34938.2552830043
2016-01-05 09:30:00,20.0,1,34938.2552830043
2016-01-05 10:00:00,21.0,1,34938.2552830043
2016-01-05 10:30:00,22.0,1,34938.2552830043
2016-01-05 11:00:00,23.0,1,34938.2552830043
